request_id=31861|request_type=Copy|submissiondate=20-10-2015 01:10:59|completiondate=20-10-2015 01:13:15|duration=136|status=Completed|objectname=A_19798142|category=A|group=tvcdig_2014_a|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B05933|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_19798142</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA4</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31871|request_type=Copy|submissiondate=20-10-2015 01:11:07|completiondate=20-10-2015 01:13:23|duration=136|status=Completed|objectname=A_21627294|category=A|group=tvcdig_2015_a_dup|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B07311|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21627294</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA2</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31880|request_type=Copy|submissiondate=20-10-2015 01:11:24|completiondate=20-10-2015 01:13:25|duration=121|status=Completed|objectname=A_21795900|category=A|group=tvcdig_2015_a|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B03364|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21795900</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA2</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31915|request_type=Delete_Instance|submissiondate=20-10-2015 01:13:26|completiondate=20-10-2015 01:13:27|duration=1|status=Completed|objectname=A_21795900|category=A|group= |instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=80|qos= |priority=80|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31870|request_type=Copy|submissiondate=20-10-2015 01:11:07|completiondate=20-10-2015 01:13:27|duration=140|status=Completed|objectname=A_21627294|category=A|group=tvcdig_2015_a|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B07747|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21627294</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA2</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
request_id=31916|request_type=Delete_Instance|submissiondate=20-10-2015 01:13:28|completiondate=20-10-2015 01:13:30|duration=2|status=Completed|objectname=A_21627294|category=A|group= |instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=80|qos= |priority=80|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31914|request_type=Archive|submissiondate=20-10-2015 01:13:17|completiondate=20-10-2015 01:13:31|duration=14|status=Completed|objectname=A_21809856|category=A|group=CACHEA1|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31903|request_type=Archive|submissiondate=20-10-2015 01:12:39|completiondate=20-10-2015 01:13:56|duration=77|status=Completed|objectname=A_19889289|category=A|group=CACHEA2|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31919|request_type=Archive|submissiondate=20-10-2015 01:13:47|completiondate=20-10-2015 01:13:59|duration=12|status=Completed|objectname=A_21809944|category=A|group=CACHEA1|instance=-1|filespath= |fileslist=some_file_name_should_be_here.avi|priority=50|qos=DIRECT_AND_CACHE|priority=50|comments= |options= |tape= |tape_destination= |errors_associated=N|addservices=0|prformat=-1|additional_info=|thirdparty_id=
request_id=31917|request_type=Copy|submissiondate=20-10-2015 01:13:32|completiondate=20-10-2015 01:14:00|duration=28|status=Completed|objectname=A_21809856|category=A|group=tvcdig_2015_a|instance=0|filespath= |fileslist=some_file_name_should_be_here.avi|priority=30|qos= |priority=30|comments= |options= |tape= |tape_destination=B07747|errors_associated=N|addservices=0|prformat=-1|additional_info=	<Object>		<Name>tvcdig_21809856</Name>		<Category>A</Category>		<Instances>			<DiskInstance>				<Id>0</Id>				<Disk>					<MediaName>discLocalA1</MediaName>				</Disk>			</DiskInstance>		</Instances>	</Object>|thirdparty_id=
